service_id,booking_id,service_name,quantity,service_price
1,BKG000002,Spa Session,1,1200
2,BKG000007,Breakfast Add-on,1,250
3,BKG000008,Airport Transfer,1,500
4,BKG000008,Breakfast Add-on,1,250
5,BKG000008,Swimming Pool Access,1,300
6,BKG000012,Room Service Package,1,800
7,BKG000014,Early Check-in,1,400
8,BKG000019,Airport Transfer,1,500
9,BKG000020,Early Check-in,1,400
10,BKG000020,Laundry Service,1,150
11,BKG000025,Spa Session,1,1200
12,BKG000026,Spa Session,1,1200
13,BKG000026,Late Checkout,1,500
14,BKG000028,Spa Session,1,1200
15,BKG000030,Airport Transfer,1,500
16,BKG000030,Spa Session,1,1200
17,BKG000032,Breakfast Add-on,1,250
18,BKG000032,Early Check-in,1,400
19,BKG000032,Room Service Package,1,800
20,BKG000033,Late Checkout,1,500
21,BKG000039,Early Check-in,1,400
22,BKG000040,Spa Session,1,1200
23,BKG000040,Late Checkout,1,500
24,BKG000042,Breakfast Add-on,1,250
25,BKG000042,Early Check-in,1,400
26,BKG000042,Swimming Pool Access,1,300
27,BKG000043,Late Checkout,1,500
28,BKG000051,Airport Transfer,1,500
29,BKG000053,Early Check-in,1,400
30,BKG000055,Spa Session,1,1200
31,BKG000055,Early Check-in,1,400
32,BKG000056,Late Checkout,1,500
33,BKG000060,Breakfast Add-on,1,250
34,BKG000062,Airport Transfer,1,500
35,BKG000062,Room Service Package,1,800
36,BKG000068,Room Service Package,1,800
37,BKG000068,Swimming Pool Access,1,300
38,BKG000069,Late Checkout,1,500
39,BKG000072,Airport Transfer,1,500
40,BKG000074,Breakfast Add-on,1,250
41,BKG000075,Breakfast Add-on,1,250
42,BKG000080,Airport Transfer,1,500
43,BKG000082,Breakfast Add-on,1,250
44,BKG000084,Breakfast Add-on,1,250
45,BKG000085,Room Service Package,1,800
46,BKG000088,Breakfast Add-on,1,250
47,BKG000088,Early Check-in,1,400
48,BKG000091,Airport Transfer,1,500
49,BKG000091,Breakfast Add-on,1,250
50,BKG000094,Airport Transfer,1,500
51,BKG000095,Late Checkout,1,500
52,BKG000098,Early Check-in,1,400
53,BKG000098,Room Service Package,1,800
54,BKG000099,Spa Session,1,1200
55,BKG000100,Early Check-in,1,400
56,BKG000105,Laundry Service,1,150
57,BKG000106,Breakfast Add-on,1,250
58,BKG000106,Late Checkout,1,500
59,BKG000108,Late Checkout,1,500
60,BKG000109,Breakfast Add-on,1,250
61,BKG000112,Breakfast Add-on,1,250
62,BKG000113,Spa Session,1,1200
63,BKG000115,Breakfast Add-on,1,250
64,BKG000116,Spa Session,1,1200
65,BKG000117,Airport Transfer,1,500
66,BKG000117,Breakfast Add-on,1,250
67,BKG000118,Breakfast Add-on,1,250
68,BKG000119,Swimming Pool Access,1,300
69,BKG000120,Airport Transfer,1,500
70,BKG000120,Late Checkout,1,500
71,BKG000124,Late Checkout,1,500
72,BKG000125,Room Service Package,1,800
73,BKG000126,Breakfast Add-on,1,250
74,BKG000127,Late Checkout,1,500
75,BKG000130,Early Check-in,1,400
76,BKG000132,Airport Transfer,1,500
77,BKG000132,Breakfast Add-on,1,250
78,BKG000134,Room Service Package,1,800
79,BKG000135,Late Checkout,1,500
80,BKG000135,Early Check-in,1,400
81,BKG000136,Spa Session,1,1200
82,BKG000137,Swimming Pool Access,1,300
83,BKG000139,Swimming Pool Access,1,300
84,BKG000140,Late Checkout,1,500
85,BKG000141,Breakfast Add-on,1,250
86,BKG000143,Airport Transfer,1,500
87,BKG000143,Swimming Pool Access,1,300
88,BKG000143,Laundry Service,1,150
89,BKG000146,Breakfast Add-on,1,250
90,BKG000146,Early Check-in,1,400
91,BKG000148,Airport Transfer,1,500
92,BKG000150,Airport Transfer,1,500
93,BKG000152,Spa Session,1,1200
94,BKG000153,Airport Transfer,1,500
95,BKG000153,Breakfast Add-on,1,250
96,BKG000153,Spa Session,1,1200
97,BKG000156,Laundry Service,1,150
98,BKG000159,Breakfast Add-on,1,250
99,BKG000159,Spa Session,1,1200
100,BKG000162,Breakfast Add-on,1,250
101,BKG000162,Laundry Service,1,150
102,BKG000164,Airport Transfer,1,500
103,BKG000165,Spa Session,1,1200
104,BKG000166,Breakfast Add-on,1,250
105,BKG000166,Spa Session,1,1200
106,BKG000166,Early Check-in,1,400
107,BKG000167,Breakfast Add-on,1,250
108,BKG000167,Spa Session,1,1200
109,BKG000167,Swimming Pool Access,1,300
110,BKG000168,Breakfast Add-on,1,250
111,BKG000168,Spa Session,1,1200
112,BKG000168,Late Checkout,1,500
113,BKG000168,Early Check-in,1,400
114,BKG000172,Airport Transfer,1,500
115,BKG000172,Room Service Package,1,800
116,BKG000172,Swimming Pool Access,1,300
117,BKG000173,Spa Session,1,1200
118,BKG000176,Room Service Package,1,800
119,BKG000178,Airport Transfer,1,500
120,BKG000180,Breakfast Add-on,1,250
121,BKG000181,Room Service Package,1,800
122,BKG000186,Room Service Package,1,800
123,BKG000188,Airport Transfer,1,500
124,BKG000188,Early Check-in,1,400
125,BKG000189,Room Service Package,1,800
126,BKG000191,Airport Transfer,1,500
127,BKG000191,Swimming Pool Access,1,300
128,BKG000194,Swimming Pool Access,1,300
129,BKG000195,Spa Session,1,1200
130,BKG000197,Breakfast Add-on,1,250
131,BKG000199,Airport Transfer,1,500
132,BKG000202,Airport Transfer,1,500
133,BKG000203,Airport Transfer,1,500
134,BKG000203,Spa Session,1,1200
135,BKG000204,Swimming Pool Access,1,300
136,BKG000206,Spa Session,1,1200
137,BKG000207,Breakfast Add-on,1,250
138,BKG000207,Room Service Package,1,800
139,BKG000207,Laundry Service,1,150
140,BKG000208,Breakfast Add-on,1,250
141,BKG000209,Late Checkout,1,500
142,BKG000211,Laundry Service,1,150
143,BKG000214,Swimming Pool Access,1,300
144,BKG000215,Room Service Package,1,800
145,BKG000217,Airport Transfer,1,500
146,BKG000219,Spa Session,1,1200
147,BKG000220,Breakfast Add-on,1,250
148,BKG000221,Spa Session,1,1200
149,BKG000221,Swimming Pool Access,1,300
150,BKG000222,Breakfast Add-on,1,250
151,BKG000226,Breakfast Add-on,1,250
152,BKG000235,Breakfast Add-on,1,250
153,BKG000235,Early Check-in,1,400
154,BKG000240,Airport Transfer,1,500
155,BKG000241,Early Check-in,1,400
156,BKG000243,Breakfast Add-on,1,250
157,BKG000243,Early Check-in,1,400
158,BKG000244,Late Checkout,1,500
159,BKG000244,Early Check-in,1,400
160,BKG000246,Spa Session,1,1200
161,BKG000246,Swimming Pool Access,1,300
162,BKG000248,Breakfast Add-on,1,250
163,BKG000248,Early Check-in,1,400
164,BKG000249,Spa Session,1,1200
165,BKG000249,Early Check-in,1,400
166,BKG000250,Breakfast Add-on,1,250
167,BKG000250,Early Check-in,1,400
168,BKG000251,Breakfast Add-on,1,250
169,BKG000252,Room Service Package,1,800
170,BKG000253,Early Check-in,1,400
171,BKG000254,Airport Transfer,1,500
172,BKG000258,Airport Transfer,1,500
173,BKG000258,Breakfast Add-on,1,250
174,BKG000261,Swimming Pool Access,1,300
175,BKG000262,Breakfast Add-on,1,250
176,BKG000263,Breakfast Add-on,1,250
177,BKG000263,Early Check-in,1,400
178,BKG000264,Room Service Package,1,800
179,BKG000264,Laundry Service,1,150
180,BKG000265,Breakfast Add-on,1,250
181,BKG000265,Laundry Service,1,150
182,BKG000267,Spa Session,1,1200
183,BKG000270,Airport Transfer,1,500
184,BKG000271,Airport Transfer,1,500
185,BKG000274,Airport Transfer,1,500
186,BKG000277,Breakfast Add-on,1,250
187,BKG000279,Late Checkout,1,500
188,BKG000280,Early Check-in,1,400
189,BKG000281,Room Service Package,1,800
190,BKG000281,Laundry Service,1,150
191,BKG000282,Airport Transfer,1,500
192,BKG000282,Breakfast Add-on,1,250
193,BKG000282,Spa Session,1,1200
194,BKG000284,Room Service Package,1,800
195,BKG000285,Breakfast Add-on,1,250
196,BKG000285,Room Service Package,1,800
197,BKG000286,Late Checkout,1,500
198,BKG000287,Breakfast Add-on,1,250
199,BKG000289,Airport Transfer,1,500
200,BKG000292,Breakfast Add-on,1,250
201,BKG000295,Spa Session,1,1200
202,BKG000301,Airport Transfer,1,500
203,BKG000301,Breakfast Add-on,1,250
204,BKG000301,Swimming Pool Access,1,300
205,BKG000303,Breakfast Add-on,1,250
206,BKG000304,Swimming Pool Access,1,300
207,BKG000304,Laundry Service,1,150
208,BKG000307,Breakfast Add-on,1,250
209,BKG000307,Early Check-in,1,400
210,BKG000308,Spa Session,1,1200
211,BKG000310,Spa Session,1,1200
212,BKG000311,Breakfast Add-on,1,250
213,BKG000313,Spa Session,1,1200
214,BKG000313,Late Checkout,1,500
215,BKG000314,Breakfast Add-on,1,250
216,BKG000314,Late Checkout,1,500
217,BKG000316,Breakfast Add-on,1,250
218,BKG000318,Airport Transfer,1,500
219,BKG000321,Spa Session,1,1200
220,BKG000321,Late Checkout,1,500
221,BKG000326,Breakfast Add-on,1,250
222,BKG000327,Airport Transfer,1,500
223,BKG000327,Room Service Package,1,800
224,BKG000329,Spa Session,1,1200
225,BKG000329,Room Service Package,1,800
226,BKG000330,Early Check-in,1,400
227,BKG000332,Room Service Package,1,800
228,BKG000333,Early Check-in,1,400
229,BKG000334,Room Service Package,1,800
230,BKG000336,Breakfast Add-on,1,250
231,BKG000339,Room Service Package,1,800
232,BKG000345,Room Service Package,1,800
233,BKG000347,Airport Transfer,1,500
234,BKG000348,Breakfast Add-on,1,250
235,BKG000353,Breakfast Add-on,1,250
236,BKG000354,Breakfast Add-on,1,250
237,BKG000356,Breakfast Add-on,1,250
238,BKG000356,Room Service Package,1,800
239,BKG000357,Late Checkout,1,500
240,BKG000358,Airport Transfer,1,500
241,BKG000360,Breakfast Add-on,1,250
242,BKG000361,Room Service Package,1,800
243,BKG000361,Laundry Service,1,150
244,BKG000362,Breakfast Add-on,1,250
245,BKG000366,Room Service Package,1,800
246,BKG000367,Airport Transfer,1,500
247,BKG000368,Airport Transfer,1,500
248,BKG000372,Breakfast Add-on,1,250
249,BKG000373,Room Service Package,1,800
250,BKG000374,Breakfast Add-on,1,250
251,BKG000374,Laundry Service,1,150
252,BKG000376,Airport Transfer,1,500
253,BKG000376,Spa Session,1,1200
254,BKG000376,Early Check-in,1,400
255,BKG000377,Breakfast Add-on,1,250
256,BKG000377,Room Service Package,1,800
257,BKG000378,Swimming Pool Access,1,300
258,BKG000380,Breakfast Add-on,1,250
259,BKG000380,Early Check-in,1,400
260,BKG000382,Airport Transfer,1,500
261,BKG000382,Late Checkout,1,500
262,BKG000385,Late Checkout,1,500
263,BKG000386,Early Check-in,1,400
264,BKG000390,Airport Transfer,1,500
265,BKG000391,Airport Transfer,1,500
266,BKG000392,Breakfast Add-on,1,250
267,BKG000392,Early Check-in,1,400
268,BKG000393,Breakfast Add-on,1,250
269,BKG000394,Airport Transfer,1,500
270,BKG000394,Laundry Service,1,150
271,BKG000397,Room Service Package,1,800
272,BKG000399,Airport Transfer,1,500
273,BKG000399,Breakfast Add-on,1,250
274,BKG000399,Room Service Package,1,800
275,BKG000400,Airport Transfer,1,500
276,BKG000401,Spa Session,1,1200
277,BKG000402,Airport Transfer,1,500
278,BKG000402,Late Checkout,1,500
279,BKG000404,Breakfast Add-on,1,250
280,BKG000404,Spa Session,1,1200
281,BKG000407,Room Service Package,1,800
